Name,Latitude,Longitude,OSM_ID
Cs Mamam Niongo,-4.4218523,15.3387903,5764275636
Ecole Mawete,-4.4070941,15.3357703,5765364150
Ecole Mozard,-4.4065001,15.339265,5765386613
Ecole Wasson,-4.404701,15.3382136,5765411104
Ecole Mika,-4.4039301,15.338362,5765423529
Ecole Maranata,-4.401786,15.3333051,5765430453
Institut Mputu,-4.4202571,15.3536658,5765609498
Unnamed,-4.4174853,15.3504042,5765615476
Complexe Scolaire BOBO,-4.4190738,15.3511083,5765660350
Institut de la collin,-4.4187591,15.3421388,5765742428
Ecole BOTOSI,-4.4259011,15.3442586,5765814065
Ecole mobokoli,-4.4173797,15.3407724,5765821816
CS Mundingu,-4.3994694,15.3524474,5765843759
Centre de formation Collège AUXANO,-4.4035082,15.3418078,5765843767
Unnamed,-4.408917,15.3469482,5765882572
Complèxe Scolaire BAZOLA,-4.4048628,15.3402641,5765886583
Ecole Kimbanguiste,-4.4227776,15.3217824,5765892120
Mayunda Tshumbu,-4.4058135,15.3498577,5765953670
Unnamed,-4.4002349,15.3475812,5765970916
Ecole Maman PEMBA,-4.4099462,15.3547984,5766078497
Collège Emérite,-4.3872283,15.3571996,5766095033
Complexe Scolaire Luminaire,-4.4059923,15.3533942,5766107607
Ecole primaire de la Paix,-4.4133536,15.3496841,5766137015
Unnamed,-4.412806,15.3537402,5766156359
Secondaire,-4.4067632,15.3600783,5766185504
College la Moisson,-4.4159931,15.3294656,5766311108
Semence,-4.4159817,15.3290934,5766315711
Unnamed,-4.4098984,15.3567772,5767557823
Ecole Kingi,-4.4017499,15.352601,5767623164
Etoile,-4.4269614,15.3243922,5767654559
Ecole,-4.4030295,15.3514288,5767675605
Tobongisa,-4.4263958,15.3256515,5767692480
Mabuidi,-4.4273157,15.3267699,5767724582
Unnamed,-4.4126048,15.3571004,5767817219
College Missionnaire Kitaba,-4.4109073,15.3601802,5767835598
Complexe Scolaire la Grace Divine,-4.4262447,15.3249236,5767844552
CS/Institut Mpyncha,-4.3963264,15.3550706,5768072708
Ecole EMERCO,-4.3923323,15.3588572,5768103357
La foi,-4.3923704,15.3570923,5768131526
Kangudi,-4.3930423,15.3572137,5768199852
Institut MABWIDI,-4.4178664,15.3403164,5768463698
Unnamed,-4.4222056,15.3356417,5768525451
SCS Rév NTOTO,-4.4030436,15.3562206,5769867642
Unnamed,-4.4163247,15.3406933,5788560251
Ufuta,-4.38269,15.3778285,5922020562
Imani,-4.3797508,15.3734833,5922020563
Kasa Mbanza,-4.3662571,15.3740571,5922084587
Complexe scolaire LA REPENTANCE,-4.4199127,15.282503,6018210288
Complexe Scolaire Bon Berger,-4.3320157,15.3464466,6039032208
Ecole Primaire,-4.328405,15.3464996,6039131956
Groupe Scolaire Tembele,-4.3330454,15.3461429,6039151839
Complexe Scolaire Saint Denis Wa,-4.3331112,15.3473542,6039196508
Saint Raphael de Karmaria,-4.3335428,15.346562,6039240939
Complexe Scolaire Monano I,-4.3352131,15.3469375,6041492247
complexe scolaire serena,-4.3352559,15.3387889,6041516468
Saint Joseph de Cluny,-4.3392248,15.3473746,6043731754
Ecole Primaire Kiwanuka,-4.3381821,15.3462524,6043767829
Collège Saint Francois,-4.3379599,15.3455133,6043767831
Groupe Scolaire Dinanga,-4.3382915,15.3498973,6044078049
Complexe Scolaire Maman bien aimé,-4.3404151,15.3504833,6044105693
Complexe Scolaire Gloria,-4.3283366,15.3465139,6044159189
Complexe Scolaire The Winner's,-4.339365,15.3463878,6044190350
Complexe Scolaire La Grace,-4.3365751,15.3485133,6050630287
Complexe Scolaire Divine Charité,-4.3446147,15.3546951,6105710431
Unnamed,-4.341418,15.3534687,6105748338
Le Prodige Divin,-4.3373125,15.3486152,6105989204
Saint Kizito,-4.3424457,15.3509232,6109085489
Ecole maternelle Saint Kizito,-4.343932,15.3521128,6109093818
Lycee Moderne le concept,-4.3437703,15.3516018,6109118472
C.S Pain de vie,-4.3502605,15.3573424,6113120205
Magnificate,-4.3434319,15.3478789,6113207115
College Royal,-4.3414126,15.3468463,6115470311
Complexe Scolaire Saint Jean Pierre Nzungu,-4.3452659,15.3535397,6115566229
College Père divin,-4.3464795,15.3520967,6115728656
Complexe scolaire Cyprien Isungu,-4.3455735,15.3542277,6115804064
Polytechnique,-4.3453849,15.3539367,6115804065
Institut Saint Jean Baptiste,-4.3224751,15.3051724,6282653585
Ecole Lala,-4.4353918,15.351162,6293490320
CS Makilu,-4.3907638,15.3539515,6293490339
Ecole Saint Donat,-4.4262354,15.3546166,6293490342
Centre de ratrappage Salisabana,-4.4309419,15.3510547,6293490351
École Samuzulu,-4.3930102,15.3574491,6293491314
Collège Saint Albert,-4.4030229,15.3427935,6293491340
Complexe Scolaire Trésor Caché,-4.4095695,15.3571916,6293491357
Ecole Saint Robert,-4.4288026,15.3550887,6293491366
Complexe Scolaire Dihata,-4.4084142,15.3579855,6293491367
Collėge Excellence du Savoir,-4.4089491,15.3333521,6293492104
CE Angelia,-4.3913415,15.3537369,6293492138
Complexe Scolaire Akiva,-4.4031726,15.3368497,6293492139
Complexe Scolaire les Petits Voltaire,-4.4162146,15.3440495,6293492140
Ecole la prospérité,-4.4320758,15.3480077,6293492158
Complèxe Scolaire les Agneaux du Christ,-4.4043941,15.3495822,6293493515
Collège Maître Noel,-4.4148224,15.3355542,6293493531
Ecole CELAM,-4.3689067,15.2851633,6341179972
École Ku Ntwala,-4.4073292,15.2526913,6414467085
École Supérieure de Management de Kinshasa,-4.3636255,15.2490127,6415551388
École La Fontaine,-4.4033062,15.2539881,6415551391
Complexe Scolaire Saint Joseph de Cuneo,-4.40115,15.2960299,6419120290
Unnamed,-4.4150063,15.342105,6553321192
Ecole Primaire Tobongisa,-4.4264707,15.3253269,6557833166
